"First Semi-Final","2021","1","Lithuania","The Roop","Discoteque"
"First Semi-Final","2021","2","Slovenia","Ana Soklič","Amen"
"First Semi-Final","2021","3","Russia","Manizha","Russian Woman"
"First Semi-Final","2021","4","Sweden","Tusse","Voices"
"First Semi-Final","2021","5","Australia","Montaigne","Technicolour"
"First Semi-Final","2021","6","North Macedonia","Vasil","Here I Stand"
"First Semi-Final","2021","7","Ireland","Lesley Roy","Maps"
"First Semi-Final","2021","8","Cyprus","Elena Tsagrinou","El Diablo"
"First Semi-Final","2021","9","Norway","Tix","Fallen Angel"
"First Semi-Final","2021","10","Croatia","Albina","Tick-Tock"
"First Semi-Final","2021","11","Belgium","Hooverphonic","The Wrong Place"
"First Semi-Final","2021","12","Israel","Eden Alene","Set Me Free"
"First Semi-Final","2021","13","Romania","Roxen","Amnesia"
"First Semi-Final","2021","14","Azerbaijan","Efendi","Mata Hari"
"First Semi-Final","2021","15","Ukraine","Go_A","Shum (Шум)"
"First Semi-Final","2021","16","Malta","Destiny","Je me casse"
"Second Semi-Final","2021","1","San Marino","Senhit","Adrenalina"
"Second Semi-Final","2021","2","Estonia","Uku Suviste","The Lucky One"
"Second Semi-Final","2021","3","Czech Republic","Benny Cristo","Omaga"
"Second Semi-Final","2021","4","Greece","Stefania","Last Dance"
"Second Semi-Final","2021","5","Austria","Vincent Bueno","Amen"
"Second Semi-Final","2021","6","Poland","Rafał","The Ride"
"Second Semi-Final","2021","7","Moldova","Natalia Gordienko","Sugar"
"Second Semi-Final","2021","8","Iceland","Daði og Gagnamagnið","10 Years"
"Second Semi-Final","2021","9","Serbia","Hurricane","Loco Loco"
"Second Semi-Final","2021","10","Georgia","Tornike Kipiani","You"
"Second Semi-Final","2021","11","Albania","Anxhela Peristeri","Karma"
"Second Semi-Final","2021","12","Portugal","The Black Mamba","Love Is on My Side"
"Second Semi-Final","2021","13","Bulgaria","Victoria","Growing Up Is Getting Old"
"Second Semi-Final","2021","14","Finland","Blind Channel","Dark Side"
"Second Semi-Final","2021","15","Latvia","Samanta Tīna","The Moon Is Rising"
"Second Semi-Final","2021","16","Switzerland","Gjon's Tears","Tout l'univers"
"Second Semi-Final","2021","17","Denmark","Fyr & Flamme","Øve os på hinanden"
"Grand Final","2021","1","Cyprus","Elena Tsagrinou","El Diablo"
"Grand Final","2021","2","Albania","Anxhela Peristeri","Karma"
"Grand Final","2021","3","Israel","Eden Alene","Set Me Free"
"Grand Final","2021","4","Belgium","Hooverphonic","The Wrong Place"
"Grand Final","2021","5","Russia","Manizha","Russian Woman"
"Grand Final","2021","6","Malta","Destiny","Je me casse"
"Grand Final","2021","7","Portugal","The Black Mamba","Love Is on My Side"
"Grand Final","2021","8","Serbia","Hurricane","Loco Loco"
"Grand Final","2021","9","United Kingdom","James Newman","Embers"
"Grand Final","2021","10","Greece","Stefania","Last Dance"
"Grand Final","2021","11","Switzerland","Gjon's Tears","Tout l'univers"
"Grand Final","2021","12","Iceland","Daði og Gagnamagnið","10 Years"
"Grand Final","2021","13","Spain","Blas Cantó","Voy a quedarme"
"Grand Final","2021","14","Moldova","Natalia Gordienko","Sugar"
"Grand Final","2021","15","Germany","Jendrik","I Don't Feel Hate"
"Grand Final","2021","16","Finland","Blind Channel","Dark Side"
"Grand Final","2021","17","Bulgaria","Victoria","Growing Up Is Getting Old"
"Grand Final","2021","18","Lithuania","The Roop","Discoteque"
"Grand Final","2021","19","Ukraine","Go_A","Shum (Шум)"
"Grand Final","2021","20","France","Barbara Pravi","Voilà"
"Grand Final","2021","21","Azerbaijan","Efendi","Mata Hari"
"Grand Final","2021","22","Norway","Tix","Fallen Angel"
"Grand Final","2021","23","Netherlands","Jeangu Macrooy","Birth of a New Age"
"Grand Final","2021","24","Italy","Måneskin","Zitti e buoni"
"Grand Final","2021","25","Sweden","Tusse","Voices"
"Grand Final","2021","26","San Marino","Senhit","Adrenalina"
