"First Semi-Final","2015","1","Moldova","Eduard Romanyuta","I Want Your Love","11"
"First Semi-Final","2015","2","Armenia","Genealogy","Face the Shadow","7"
"First Semi-Final","2015","3","Belgium","Loïc Nottet","Rhythm Inside","2"
"First Semi-Final","2015","4","Netherlands","Trijntje Oosterhuis","Walk Along","14"
"First Semi-Final","2015","5","Finland","Pertti Kurikan Nimipäivät","Aina mun pitää","16"
"First Semi-Final","2015","6","Greece","Maria Elena Kyriakou","One Last Breath","6"
"First Semi-Final","2015","7","Estonia","Elina Born & Stig Rästa","Goodbye to Yesterday","3"
"First Semi-Final","2015","8","North Macedonia","Daniel Kajmakoski","Autumn Leaves","15"
"First Semi-Final","2015","9","Serbia","Bojana Stamenov","Beauty Never Lies","9"
"First Semi-Final","2015","10","Hungary","Boggie","Wars for Nothing","8"
"First Semi-Final","2015","11","Belarus","Uzari & Maimuna","Time","12"
"First Semi-Final","2015","12","Russia","Polina Gagarina","A Million Voices","1"
"First Semi-Final","2015","13","Denmark","Anti Social Media","The Way You Are","13"
"First Semi-Final","2015","14","Albania","Elhaida Dani","I'm Alive","10"
"First Semi-Final","2015","15","Romania","Voltaj","De la capăt","5"
"First Semi-Final","2015","16","Georgia","Nina Sublatti","Warrior","4"
"Second Semi-Final","2015","1","Lithuania","Monika Linkytė & Vaidas Baumila","This Time","7"
"Second Semi-Final","2015","2","Ireland","Molly Sterling","Playing with Numbers","12"
"Second Semi-Final","2015","3","San Marino","Anita Simoncini & Michele Perniola","Chain of Lights","16"
"Second Semi-Final","2015","4","Montenegro","Knez","Adio","9"
"Second Semi-Final","2015","5","Malta","Amber","Warrior","11"
"Second Semi-Final","2015","6","Norway","Mørland & Debrah Scarlett","A Monster Like Me","4"
"Second Semi-Final","2015","7","Portugal","Leonor Andrade","Há um mar que nos separa","14"
"Second Semi-Final","2015","8","Czech Republic","Marta Jandová & Václav Noid Bárta","Hope Never Dies","13"
"Second Semi-Final","2015","9","Israel","Nadav Guedj","Golden Boy","3"
"Second Semi-Final","2015","10","Latvia","Aminata","Love Injected","2"
"Second Semi-Final","2015","11","Azerbaijan","Elnur Huseynov","Hour of the Wolf","10"
"Second Semi-Final","2015","12","Iceland","Maria Olafs","Unbroken","15"
"Second Semi-Final","2015","13","Sweden","Måns Zelmerlöw","Heroes","1"
"Second Semi-Final","2015","14","Switzerland","Mélanie René","Time to Shine","17"
"Second Semi-Final","2015","15","Cyprus","John Karayiannis","One Thing I Should Have Done","6"
"Second Semi-Final","2015","16","Slovenia","Maraaya","Here for You","5"
"Second Semi-Final","2015","17","Poland","Monika Kuszyńska","In the Name of Love","8"
"Grand Final","2015","1","Slovenia","Maraaya","Here for You","14"
"Grand Final","2015","2","France","Lisa Angell","N'oubliez pas","25"
"Grand Final","2015","3","Israel","Nadav Guedj","Golden Boy","9"
"Grand Final","2015","4","Estonia","Elina Born & Stig Rästa","Goodbye to Yesterday","7"
"Grand Final","2015","5","United Kingdom","Electro Velvet","Still in Love with You","24"
"Grand Final","2015","6","Armenia","Genealogy","Face the Shadow","16"
"Grand Final","2015","7","Lithuania","Monika Linkytė & Vaidas Baumila","This Time","18"
"Grand Final","2015","8","Serbia","Bojana Stamenov","Beauty Never Lies","10"
"Grand Final","2015","9","Norway","Mørland & Debrah Scarlett","A Monster Like Me","8"
"Grand Final","2015","10","Sweden","Måns Zelmerlöw","Heroes","1"
"Grand Final","2015","11","Cyprus","John Karayiannis","One Thing I Should Have Done","22"
"Grand Final","2015","12","Australia","Guy Sebastian","Tonight Again","5"
"Grand Final","2015","13","Belgium","Loïc Nottet","Rhythm Inside","4"
"Grand Final","2015","14","Austria","The Makemakes","I Am Yours","26"
"Grand Final","2015","15","Greece","Maria Elena Kyriakou","One Last Breath","19"
"Grand Final","2015","16","Montenegro","Knez","Adio","13"
"Grand Final","2015","17","Germany","Ann Sophie","Black Smoke","27"
"Grand Final","2015","18","Poland","Monika Kuszyńska","In the Name of Love","23"
"Grand Final","2015","19","Latvia","Aminata","Love Injected","6"
"Grand Final","2015","20","Romania","Voltaj","De la capăt","15"
"Grand Final","2015","21","Spain","Edurne","Amanecer","21"
"Grand Final","2015","22","Hungary","Boggie","Wars for Nothing","20"
"Grand Final","2015","23","Georgia","Nina Sublatti","Warrior","11"
"Grand Final","2015","24","Azerbaijan","Elnur Huseynov","Hour of the Wolf","12"
"Grand Final","2015","25","Russia","Polina Gagarina","A Million Voices","2"
"Grand Final","2015","26","Albania","Elhaida Dani","I'm Alive","17"
"Grand Final","2015","27","Italy","Il Volo","Grande amore","3"
