"Semi-Final","2006","1"," Armenia","André","Without Your Love","6"
"Semi-Final","2006","2"," Bulgaria","Mariana Popova","Let Me Cry","17"
"Semi-Final","2006","3"," Slovenia","Anžej Dežan","Mr Nobody","16"
"Semi-Final","2006","4"," Andorra","Jenny","Sense tu","23"
"Semi-Final","2006","5"," Belarus","Polina Smolova","Mum","22"
"Semi-Final","2006","6"," Albania","Luiz Ejlli","Zjarr e ftohtë","14"
"Semi-Final","2006","7"," Belgium","Kate Ryan","Je t'adore","12"
"Semi-Final","2006","8"," Ireland","Brian Kennedy","Every Song Is a Cry for Love","9"
"Semi-Final","2006","9"," Cyprus","Annet Artani","Why Angels Cry","15"
"Semi-Final","2006","10"," Monaco","Séverine Ferrer","La Coco-Dance","21"
"Semi-Final","2006","11"," Macedonia","Elena Risteska","Ninanajna (Нинанајна)","10"
"Semi-Final","2006","12"," Poland","Ich Troje feat. Real McCoy","Follow My Heart","11"
"Semi-Final","2006","13"," Russia","Dima Bilan","Never Let You Go","3"
"Semi-Final","2006","14"," Turkey","Sibel Tüzün","Süper Star","8"
"Semi-Final","2006","15"," Ukraine","Tina Karol","Show Me Your Love","7"
"Semi-Final","2006","16"," Finland","Lordi","Hard Rock Hallelujah","1"
"Semi-Final","2006","17"," Netherlands","Treble","Amambanda","20"
"Semi-Final","2006","18"," Lithuania","LT United","We Are the Winners","5"
"Semi-Final","2006","19"," Portugal","Nonstop","Coisas de nada","19"
"Semi-Final","2006","20"," Sweden","Carola","Invincible","4"
"Semi-Final","2006","21"," Estonia","Sandra Oxenryd","Through My Window","18"
"Semi-Final","2006","22"," Bosnia and Herzegovina","Hari Mata Hari","Lejla","2"
"Semi-Final","2006","23"," Iceland","Silvia Night","Congratulations","13"
"Grand Final","2006","1","  Switzerland","six4one","If We All Give a Little","16"
"Grand Final","2006","2"," Moldova","Arsenium feat. Natalia Gordienko and Connect-R","Loca","20"
"Grand Final","2006","3"," Israel","Eddie Butler","Together We Are One","23"
"Grand Final","2006","4"," Latvia","Vocal Group Cosmos","I Hear Your Heart","16"
"Grand Final","2006","5"," Norway","Christine Guldbrandsen","Alvedansen","14"
"Grand Final","2006","6"," Spain","Las Ketchup","Un Blodymary","21"
"Grand Final","2006","7"," Malta","Fabrizio Faniello","I Do","24"
"Grand Final","2006","8"," Germany","Texas Lightning","No No Never","14"
"Grand Final","2006","9"," Denmark","Sidsel Ben Semmane","Twist of Love","18"
"Grand Final","2006","10"," Russia","Dima Bilan","Never Let You Go","2"
"Grand Final","2006","11"," Macedonia","Elena Risteska","Ninanajna (Нинанајна)","12"
"Grand Final","2006","12"," Romania","Mihai Trăistariu","Tornerò","4"
"Grand Final","2006","13"," Bosnia and Herzegovina","Hari Mata Hari","Lejla","3"
"Grand Final","2006","14"," Lithuania","LT United","We Are the Winners","6"
"Grand Final","2006","15"," United Kingdom","Daz Sampson","Teenage Life","19"
"Grand Final","2006","16"," Greece","Anna Vissi","Everything","9"
"Grand Final","2006","17"," Finland","Lordi","Hard Rock Hallelujah","1"
"Grand Final","2006","18"," Ukraine","Tina Karol","Show Me Your Love","7"
"Grand Final","2006","19"," France","Virginie Pouchain","Il était temps","22"
"Grand Final","2006","20"," Croatia","Severina","Moja štikla","12"
"Grand Final","2006","21"," Ireland","Brian Kennedy","Every Song Is a Cry for Love","10"
"Grand Final","2006","22"," Sweden","Carola","Invincible","5"
"Grand Final","2006","23"," Turkey","Sibel Tüzün","Süper Star","11"
"Grand Final","2006","24"," Armenia","André","Without Your Love","8"
