"First Semi-Final","2016","1","Finland","Sandhja","Sing It Away","15"
"First Semi-Final","2016","2","Greece","Argo","Utopian Land","16"
"First Semi-Final","2016","3","Moldova","Lidia Isac","Falling Stars","17"
"First Semi-Final","2016","4","Hungary","Freddie","Pioneer","4"
"First Semi-Final","2016","5","Croatia","Nina Kraljić","Lighthouse","10"
"First Semi-Final","2016","6","Netherlands","Douwe Bob","Slow Down","5"
"First Semi-Final","2016","7","Armenia","Iveta Mukuchyan","LoveWave","2"
"First Semi-Final","2016","8","San Marino","Serhat","I Didn't Know","12"
"First Semi-Final","2016","9","Russia","Sergey Lazarev","You Are the Only One","1"
"First Semi-Final","2016","10","Czech Republic","Gabriela Gunčíková","I Stand","9"
"First Semi-Final","2016","11","Cyprus","Minus One","Alter Ego","8"
"First Semi-Final","2016","12","Austria","Zoë","Loin d'ici","7"
"First Semi-Final","2016","13","Estonia","Jüri Pootsmann","Play","18"
"First Semi-Final","2016","14","Azerbaijan","Samra","Miracle","6"
"First Semi-Final","2016","15","Montenegro","Highway","The Real Thing","13"
"First Semi-Final","2016","16","Iceland","Greta Salóme","Hear Them Calling","14"
"First Semi-Final","2016","17","Bosnia and Herzegovina","Dalal & Deen feat. Ana Rucner and Jala","Ljubav je","11"
"First Semi-Final","2016","18","Malta","Ira Losco","Walk on Water","3"
"Second Semi-Final","2016","1","Latvia","Justs","Heartbeat","8"
"Second Semi-Final","2016","2","Poland","Michał Szpak","Color of Your Life","6"
"Second Semi-Final","2016","3","Switzerland","Rykka","The Last of Our Kind","18"
"Second Semi-Final","2016","4","Israel","Hovi Star","Made of Stars","7"
"Second Semi-Final","2016","5","Belarus","Ivan","Help You Fly","12"
"Second Semi-Final","2016","6","Serbia","Sanja Vučić ZAA","Goodbye (Shelter)","10"
"Second Semi-Final","2016","7","Ireland","Nicky Byrne","Sunlight","15"
"Second Semi-Final","2016","8","North Macedonia","Kaliopi","Dona (Дона)","11"
"Second Semi-Final","2016","9","Lithuania","Donny Montell","I've Been Waiting for This Night","4"
"Second Semi-Final","2016","10","Australia","Dami Im","Sound of Silence","1"
"Second Semi-Final","2016","11","Slovenia","ManuElla","Blue and Red","14"
"Second Semi-Final","2016","12","Bulgaria","Poli Genova","If Love Was a Crime","5"
"Second Semi-Final","2016","13","Denmark","Lighthouse X","Soldiers of Love","17"
"Second Semi-Final","2016","14","Ukraine","Jamala","1944","2"
"Second Semi-Final","2016","15","Norway","Agnete","Icebreaker","13"
"Second Semi-Final","2016","16","Georgia","Nika Kocharov and Young Georgian Lolitaz","Midnight Gold","9"
"Second Semi-Final","2016","17","Albania","Eneda Tarifa","Fairytale","16"
"Second Semi-Final","2016","18","Belgium","Laura Tesoro","What's the Pressure","3"
"Grand Final","2016","1","Belgium","Laura Tesoro","What's the Pressure","10"
"Grand Final","2016","2","Czech Republic","Gabriela Gunčíková","I Stand","25"
"Grand Final","2016","3","Netherlands","Douwe Bob","Slow Down","11"
"Grand Final","2016","4","Azerbaijan","Samra","Miracle","17"
"Grand Final","2016","5","Hungary","Freddie","Pioneer","19"
"Grand Final","2016","6","Italy","Francesca Michielin","No Degree of Separation","16"
"Grand Final","2016","7","Israel","Hovi Star","Made of Stars","14"
"Grand Final","2016","8","Bulgaria","Poli Genova","If Love Was a Crime","4"
"Grand Final","2016","9","Sweden","Frans","If I Were Sorry","5"
"Grand Final","2016","10","Germany","Jamie-Lee","Ghost","26"
"Grand Final","2016","11","France","Amir","J'ai cherché","6"
"Grand Final","2016","12","Poland","Michał Szpak","Color of Your Life","8"
"Grand Final","2016","13","Australia","Dami Im","Sound of Silence","2"
"Grand Final","2016","14","Cyprus","Minus One","Alter Ego","21"
"Grand Final","2016","15","Serbia","Sanja Vučić ZAA","Goodbye (Shelter)","18"
"Grand Final","2016","16","Lithuania","Donny Montell","I've Been Waiting for This Night","9"
"Grand Final","2016","17","Croatia","Nina Kraljić","Lighthouse","23"
"Grand Final","2016","18","Russia","Sergey Lazarev","You Are the Only One","3"
"Grand Final","2016","19","Spain","Barei","Say Yay!","22"
"Grand Final","2016","20","Latvia","Justs","Heartbeat","15"
"Grand Final","2016","21","Ukraine","Jamala","1944","1"
"Grand Final","2016","22","Malta","Ira Losco","Walk on Water","12"
"Grand Final","2016","23","Georgia","Nika Kocharov and Young Georgian Lolitaz","Midnight Gold","20"
"Grand Final","2016","24","Austria","Zoë","Loin d'ici","13"
"Grand Final","2016","25","United Kingdom","Joe and Jake","You're Not Alone","24"
"Grand Final","2016","26","Armenia","Iveta Mukuchyan","LoveWave","7"
