"First Semi-Final","2012","1"," Montenegro","Rambo Amadeus","Euro Neuro","15"
"First Semi-Final","2012","2"," Iceland","Greta Salóme and Jónsi","Never Forget","8"
"First Semi-Final","2012","3"," Greece","Eleftheria Eleftheriou","Aphrodisiac","4"
"First Semi-Final","2012","4"," Latvia","Anmary","Beautiful Song","16"
"First Semi-Final","2012","5"," Albania","Rona Nishliu","Suus","2"
"First Semi-Final","2012","6"," Romania","Mandinga","Zaleilah","3"
"First Semi-Final","2012","7","  Switzerland","Sinplus","Unbreakable","11"
"First Semi-Final","2012","8"," Belgium","Iris","Would You?","17"
"First Semi-Final","2012","9"," Finland","Pernilla Karlsson","När jag blundar","12"
"First Semi-Final","2012","10"," Israel","Izabo","Time","13"
"First Semi-Final","2012","11"," San Marino","Valentina Monetta","The Social Network Song (Oh Oh – Uh - Oh Oh)","14"
"First Semi-Final","2012","12"," Cyprus","Ivi Adamou","La La Love","7"
"First Semi-Final","2012","13"," Denmark","Soluna Samay","Should've Known Better","9"
"First Semi-Final","2012","14"," Russia","Buranovskiye Babushki","Party for Everybody","1"
"First Semi-Final","2012","15"," Hungary","Compact Disco","Sound of Our Hearts","10"
"First Semi-Final","2012","16"," Austria","Trackshittaz","Woki mit deim Popo","18"
"First Semi-Final","2012","17"," Moldova","Pasha Parfeny","Lăutar","5"
"First Semi-Final","2012","18"," Ireland","Jedward","Waterline","6"
"Second Semi-Final","2012","1"," Serbia","Željko Joksimović","Nije ljubav stvar (Није љубав ствар)","2"
"Second Semi-Final","2012","2"," Macedonia","Kaliopi","Crno i belo (Црно и бело)","9"
"Second Semi-Final","2012","3"," Netherlands","Joan Franka","You and Me","15"
"Second Semi-Final","2012","4"," Malta","Kurt Calleja","This Is the Night","7"
"Second Semi-Final","2012","5"," Belarus","Litesound","We Are the Heroes","16"
"Second Semi-Final","2012","6"," Portugal","Filipa Sousa","Vida minha","13"
"Second Semi-Final","2012","7"," Ukraine","Gaitana","Be My Guest","8"
"Second Semi-Final","2012","8"," Bulgaria","Sofi Marinova","Love Unlimited","11"
"Second Semi-Final","2012","9"," Slovenia","Eva Boto","Verjamem","17"
"Second Semi-Final","2012","10"," Croatia","Nina Badrić","Nebo","12"
"Second Semi-Final","2012","11"," Sweden","Loreen","Euphoria","1"
"Second Semi-Final","2012","12"," Georgia","Anri Jokhadze","I'm a Joker","14"
"Second Semi-Final","2012","13"," Turkey","Can Bonomo","Love Me Back","5"
"Second Semi-Final","2012","14"," Estonia","Ott Lepland","Kuula","4"
"Second Semi-Final","2012","15"," Slovakia","Max Jason Mai","Don't Close Your Eyes","18"
"Second Semi-Final","2012","16"," Norway","Tooji","Stay","10"
"Second Semi-Final","2012","17"," Bosnia and Herzegovina","Maya Sar","Korake ti znam","6"
"Second Semi-Final","2012","18"," Lithuania","Donny Montell","Love Is Blind","3"
"Grand Final","2012","1"," United Kingdom","Engelbert Humperdinck","Love Will Set You Free","25"
"Grand Final","2012","2"," Hungary","Compact Disco","Sound of Our Hearts","24"
"Grand Final","2012","3"," Albania","Rona Nishliu","Suus","5"
"Grand Final","2012","4"," Lithuania","Donny Montell","Love Is Blind","14"
"Grand Final","2012","5"," Bosnia and Herzegovina","Maya Sar","Korake ti znam","18"
"Grand Final","2012","6"," Russia","Buranovskiye Babushki","Party for Everybody","2"
"Grand Final","2012","7"," Iceland","Greta Salóme and Jónsi","Never Forget","20"
"Grand Final","2012","8"," Cyprus","Ivi Adamou","La La Love","16"
"Grand Final","2012","9"," France","Anggun","Echo (You and I)","22"
"Grand Final","2012","10"," Italy","Nina Zilli","L'amore è femmina (Out of Love)","9"
"Grand Final","2012","11"," Estonia","Ott Lepland","Kuula","6"
"Grand Final","2012","12"," Norway","Tooji","Stay","26"
"Grand Final","2012","13"," Azerbaijan","Sabina Babayeva","When the Music Dies","4"
"Grand Final","2012","14"," Romania","Mandinga","Zaleilah","12"
"Grand Final","2012","15"," Denmark","Soluna Samay","Should've Known Better","23"
"Grand Final","2012","16"," Greece","Eleftheria Eleftheriou","Aphrodisiac","17"
"Grand Final","2012","17"," Sweden","Loreen","Euphoria","1"
"Grand Final","2012","18"," Turkey","Can Bonomo","Love Me Back","7"
"Grand Final","2012","19"," Spain","Pastora Soler","Quédate conmigo (Stay With Me)","10"
"Grand Final","2012","20"," Germany","Roman Lob","Standing Still","8"
"Grand Final","2012","21"," Malta","Kurt Calleja","This Is the Night","21"
"Grand Final","2012","22"," Macedonia","Kaliopi","Crno i belo (Црно и бело)","13"
"Grand Final","2012","23"," Ireland","Jedward","Waterline","19"
"Grand Final","2012","24"," Serbia","Željko Joksimović","Nije ljubav stvar (Није љубав ствар)","3"
"Grand Final","2012","25"," Ukraine","Gaitana","Be My Guest","15"
"Grand Final","2012","26"," Moldova","Pasha Parfeny","Lăutar","11"
